instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline,SSL_BUY,SSL_SELL
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84344,0.84344,0.84161,0.84194,0.847421,0.842958,0.847421,0.842958,sell,True,0.0043599765598733,0.8462999765598734,0.8375800234401266,0.84847996483981,0.8375800234401266,0.84468,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.84174,0.84205,0.8478999999999999,0.8430989999999999,0.8478999999999999,0.8430989999999999,sell,True,0.0045781914269734,0.8466281914269734,0.8374718085730265,0.8489172871404601,0.8374718085730265,0.8451424999999999,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.84174,0.84205,0.8478999999999999,0.8430989999999999,0.8478999999999999,0.8430989999999999,sell,True,0.0045781914269734,0.8466281914269734,0.8374718085730265,0.8489172871404601,0.8374718085730265,0.8451424999999999,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.84172,0.84172,0.8478999999999999,0.843097,0.8478999999999999,0.843097,sell,True,0.0045796199984019,0.846299619998402,0.8371403800015981,0.848589429997603,0.8371403800015981,0.8451012499999999,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.84119,0.84121,0.8478999999999999,0.8430439999999999,0.8478999999999999,0.8430439999999999,sell,True,0.0046174771412591,0.8458274771412592,0.8365925228587409,0.8481362157118887,0.8365925228587409,0.8450375,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.83975,0.84064,0.8478999999999999,0.8429,0.8478999999999999,0.8429,sell,True,0.0047203342841162,0.8453603342841164,0.8359196657158837,0.8477205014261745,0.8359196657158837,0.8449662499999999,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.83975,0.84118,0.8478999999999999,0.8429,0.8478999999999999,0.8429,sell,True,0.0047203342841162,0.8459003342841164,0.8364596657158837,0.8482605014261745,0.8364596657158837,0.84503375,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.83975,0.84125,0.8478999999999999,0.8429,0.8478999999999999,0.8429,sell,True,0.0047203342841162,0.8459703342841164,0.8365296657158837,0.8483305014261745,0.8365296657158837,0.8450424999999999,,
NZD_CAD,2024-06-17 07:00:00+10:00,D,0.84419,0.8442,0.83975,0.84128,0.8478999999999999,0.8429,0.8478999999999999,0.8429,sell,True,0.0047203342841162,0.8460003342841164,0.8365596657158837,0.8483605014261745,0.8365596657158837,0.84504625,,
NZD_CAD,2024-07-04 07:00:00+10:00,D,0.83187,0.8335,0.83111,0.83314,0.836072,0.8322660000000001,0.8322660000000001,0.836072,buy,True,0.0042225880924134,0.8373625880924134,0.8289174119075866,0.8268061178613798,0.8373625880924134,0.83306875,True,False
NZD_CAD,2024-07-04 07:00:00+10:00,D,0.83187,0.8335,0.83111,0.83329,0.836072,0.8322660000000001,0.8322660000000001,0.836072,buy,True,0.0042225880924134,0.8375125880924134,0.8290674119075866,0.8269561178613798,0.8375125880924134,0.8330875000000001,True,False
NZD_CAD,2024-07-04 07:00:00+10:00,D,0.83187,0.83351,0.83111,0.83351,0.8360730000000001,0.8322660000000001,0.8322660000000001,0.8360730000000001,buy,True,0.0042233023781277,0.8377333023781277,0.8292866976218722,0.8271750464328084,0.8377333023781277,0.833115,True,False
NZD_CAD,2024-07-04 07:00:00+10:00,D,0.83187,0.83354,0.83111,0.83348,0.8360759999999999,0.8322660000000001,0.8322660000000001,0.8360759999999999,buy,True,0.0042254452352705,0.8377054452352706,0.8292545547647294,0.8271418321470941,0.8377054452352706,0.8331112500000001,True,False
NZD_CAD,2024-07-04 07:00:00+10:00,D,0.83187,0.83354,0.83111,0.83334,0.8360759999999999,0.8322660000000001,0.8322660000000001,0.8360759999999999,buy,True,0.0042254452352705,0.8375654452352705,0.8291145547647294,0.8270018321470941,0.8375654452352705,0.8330937500000001,True,False
NZD_CAD,2024-07-15 07:00:00+10:00,D,0.83303,0.83328,0.83147,0.83297,0.8352769999999999,0.830404,0.830404,0.8352769999999999,buy,False,0.0046744804840325,0.8376444804840325,0.8282955195159675,0.8259582792739512,0.8376444804840325,0.83299,False,False
NZD_CAD,2024-07-15 07:00:00+10:00,D,0.83303,0.83328,0.83147,0.833,0.8352769999999999,0.830404,0.830404,0.8352769999999999,buy,False,0.00467448048403253,0.8376744804840325,0.8283255195159674,0.8259882792739511,0.8376744804840325,0.83299375,False,False
